ADD,ALIAS TO , DESCRIPTION,UNIT,,,
b[484],,FREE,,,,
b[485],,FREE,,,,
b[486],,FREE,,,,
b[487],,FREE,,,,
b[488],,FREE,,,,
b[489],,FREE,,,,
b[490],,FREE,,,,
b[491],,FREE,,,,
b[492],,FREE,,,,
b[493],,FREE,,,,
b[494],,FREE,,,,
b[495],,FREE,,,,
b[496],,FREE,,,,
b[497],,FREE,,,,
b[498],,FREE,,,,
b[499],,FREE,,,,
b[500],,INVERSE VIDEO PAGE 1 RATIO EXT1/EXT2,,,,
b[501],,INVERSE VIDEO PAGE 1 PRESSURE EXT1,,,,
b[502],,INVERSE VIDEO PAGE 1 SPEED EXT2,,,,
b[503],,INVERSE VIDEO PAGE 1 PRESSURE EXT2,,,,
b[504],,INVERSE VIDEO PAGE 1 SPEED CR,,,,
b[505],,INVERSE VIDEO PAGE 1,,,,
b[506],,INVERSE VIDEO PAGE 1,,,,
b[507],,INVERSE VIDEO PAGE 1,,,,
b[508],,INVERSE VIDEO PAGE 1,,,,
b[509],,INVERSE VIDEO PAGE 1,,,,
b[510],,INVERSE VIDEO PAGE 1,,,,
b[511],,INVERSE VIDEO PAGE 1,,,,
b[512],,INVERSE VIDEO PAGE 1,,,,
b[513],,INVERSE VIDEO PAGE 1,,,,
b[514],,INVERSE VIDEO PAGE 1,,,,
b[515],,INVERSE VIDEO PAGE 1,,,,
b[516],,INVERSE VIDEO PAGE 2 SPEED SAT1,,,,
b[517],,INVERSE VIDEO PAGE 2 PRESSURE SAT1,,,,
b[518],,INVERSE VIDEO PAGE 2 SPEED CR,,,,
b[519],,INVERSE VIDEO PAGE 2 PRESSURE SAT2,,,,
b[520],,INVERSE VIDEO PAGE 2 SPEED SAT2,,,,
b[521],,INVERSE VIDEO PAGE 2,,,,
b[522],,INVERSE VIDEO PAGE 2,,,,
b[523],,INVERSE VIDEO PAGE 2,,,,
b[524],,INVERSE VIDEO PAGE 2,,,,
b[525],,INVERSE VIDEO PAGE 2,,,,
b[526],,INVERSE VIDEO PAGE 2,,,,
b[527],,INVERSE VIDEO PAGE 2,,,,
b[528],,INVERSE VIDEO PAGE 2,,,,
b[529],,INVERSE VIDEO PAGE 2,,,,
b[530],,INVERSE VIDEO PAGE 2,,,,
b[531],,INVERSE VIDEO PAGE 2,,,,
b[532],,INVERSE VIDEO PAGE 3 SPEED CR,,,,
b[533],,INVERSE VIDEO PAGE 3 FRICTION MDO1/CR,,,,
b[534],,INVERSE VIDEO PAGE 3 FRICTION TDO/MDO3,,,,
b[535],,INVERSE VIDEO PAGE 3 GAUGE TDO/MDO3,,,,
b[536],,INVERSE VIDEO PAGE 3,,,,
b[537],,INVERSE VIDEO PAGE 3,,,,
b[538],,INVERSE VIDEO PAGE 3,,,,
b[539],,INVERSE VIDEO PAGE 3,,,,
b[540],,INVERSE VIDEO PAGE 3,,,,
b[541],,INVERSE VIDEO PAGE 3,,,,
b[542],,INVERSE VIDEO PAGE 3,,,,
b[543],,INVERSE VIDEO PAGE 3,,,,
b[544],,INVERSE VIDEO PAGE 3,,,,
b[545],,INVERSE VIDEO PAGE 3,,,,
b[546],,INVERSE VIDEO PAGE 3,,,,
b[547],,INVERSE VIDEO PAGE 3,,,,
b[548],,INVERSE VIDEO PAGE 4 FICTION PRS2/PRS1,,,,
b[549],,INVERSE VIDEO PAGE 4 FICTION PRS2/TDO,,,,
b[550],,INVERSE VIDEO PAGE 4,,,,
b[551],,INVERSE VIDEO PAGE 4,,,,
b[552],,INVERSE VIDEO PAGE 4,,,,
b[553],,INVERSE VIDEO PAGE 4,,,,
b[554],,INVERSE VIDEO PAGE 4,,,,
b[555],,INVERSE VIDEO PAGE 4,,,,
b[556],,INVERSE VIDEO PAGE 4,,,,
b[557],,INVERSE VIDEO PAGE 4,,,,
b[558],,INVERSE VIDEO PAGE 4,,,,
b[559],,INVERSE VIDEO PAGE 4,,,,
b[560],,INVERSE VIDEO PAGE 4,,,,
b[561],,INVERSE VIDEO PAGE 4,,,,
b[562],,INVERSE VIDEO PAGE 4,,,,
b[563],,INVERSE VIDEO PAGE 4,,,,
b[564],,FREE,,,,
b[565],,FREE,,,,
b[566],,FREE,,,,
b[567],,FREE,,,,
b[568],,FREE,,,,
b[569],,FREE,,,,
b[570],,RUN VARIATOR FOR DISPLAY EXT1,,,,
b[571],,RUN VARIATOR FOR DISPLAY EXT2,,,,
b[572],,RUN VARIATOR FOR DISPLAY SAT1,,,,
b[573],,RUN VARIATOR FOR DISPLAY SAT2,,,,
b[574],,RUN VARIATOR FOR DISPLAY CR,,,,
b[575],,RUN VARIATOR FOR DISPLAY MDO1,,,,
b[576],,RUN VARIATOR FOR DISPLAY MDO2,,,,
b[577],,RUN VARIATOR FOR DISPLAY MDO3,,,,
b[578],,RUN VARIATOR FOR DISPLAY TDO,,,,
b[579],,RUN VARIATOR FOR DISPLAY PRS1,,,,
b[580],,RUN VARIATOR FOR DISPLAY PRS2,,,,
b[581],,FREE,,,,
b[582],,FREE,,,,
b[583],,FREE,,,,
b[584],,FREE,,,,
b[585],,FREE,,,,
b[586],,FREE,,,,
b[587],,FREE,,,,
b[588],,FREE,,,,
b[589],,FREE,,,,
b[590],,DEFECT VARIATOR FOR DISPLAY EXT1,,,,
b[591],,DEFECT VARIATOR FOR DISPLAY EXT2,,,,
b[592],,DEFECT VARIATOR FOR DISPLAY SAT1,,,,
b[593],,DEFECT VARIATOR FOR DISPLAY SAT2,,,,
b[594],,DEFECT VARIATOR FOR DISPLAY CR,,,,
b[595],,DEFECT VARIATOR FOR DISPLAY MDO1,,,,
b[596],,DEFECT VARIATOR FOR DISPLAY MDO2,,,,
b[597],,DEFECT VARIATOR FOR DISPLAY MDO3,,,,
b[598],,DEFECT VARIATOR FOR DISPLAY TDO,,,,
b[599],,DEFECT VARIATOR FOR DISPLAY PRS1,,,,
b[600],,DEFECT VARIATOR FOR DISPLAY PRS2,,,,
b[601],,FREE,,,,
b[602],,FREE,,,,
b[603],,FREE,,,,
b[604],,FREE,,,,
b[605],,FREE,,,,
b[606],,FREE,,,,
b[607],,FREE,,,,
b[608],,FREE,,,,
b[609],,FREE,,,,
b[610],,PRESSURE MODE EXT1  (1: PRESSURE MODE   0: SPEED MODE),1,,,
b[611],,PRESSURE MODE EXT2,0,,,
b[612],,PRESSURE MODE SAT1,0,,,
b[613],,PRESSURE MODE SAT2,0,,,
b[614],,FREE,,,,
b[615],,PRESSURE MODE PERMITTED EXT1,0,,,
b[616],,PRESSURE MODE PERMITTED EXT2,0,,,
b[617],,PRESSURE MODE PERMITTED SAT1,0,,,
b[618],,PRESSURE MODE PERMITTED SAT2,0,,,
b[619],,DISPLAY ON XBT S->P EXT1,0,,,
b[620],,DISPLAY ON XBT S->P EXT2,0,,,
b[621],,DISPLAY ON XBT S->P SAT1,0,,,
b[622],,DISPLAY ON XBT S->P SAT2,0,,,
b[623],,FREE,,,,
b[624],,FREE,,,,
b[625],,PURGE MODE EXT1/EXT2,0,,,
b[626],,ORDER PRESSURE MODE EXT1,1,,,
b[627],,FREE,,,,
b[628],,ORDER PRESSURE MODE EXT2,0,,,
b[629],,PURGE MODE SAT1,0,,,
b[630],,ORDER PRESSURE MODE SAT1,0,,,
b[631],,PURGE MODE SAT2,0,,,
b[632],,ORDER PRESSURE MODE SAT2,0,,,
b[633],,FREE,,,,
b[634],,GAUGE IN REGULATION,0,,,
b[635],,BIT FOR STRETCHING,0,,,
b[636],,BIT FOR STRETCHING,1,,,
b[637],,BIT FOR STRETCHING,0,,,
b[638],,FREE,,,,
b[639],,FREE,,,,
b[640],,AUTOMATIC MODE FOR SPEED EXT,0,,,
b[641],,AUTOMATIC MODE FOR SPEED SAT1,0,,,
b[642],,AUTOMATIC MODE FOR SPEED SAT2,0,,,
b[643],,AUTOMATIC MODE  PERMITTED EXT,0,,,
b[644],,AUTOMATIC MODE  PERMITTED SAT1,0,,,
b[645],,AUTOMATIC MODE  PERMITTED SAT2,0,,,
b[646],,AUTOMATIC MODE PERMITTED ALL,0,,,
b[647],,FREE,,,,
b[648],,MDO DANCING ROLL,1,,,
b[649],,TDO DANCING ROLL,0,,,
b[650],,ORDER AUTOMATIC MODE EXT,0,,,
b[651],,ORDER AUTOMATIC MODE SAT1,0,,,
b[652],,ORDER AUTOMATIC MODE SAT2,0,,,
b[653],,FREE,,,,
b[654],,FREE,,,,
b[655],,FREE,,,,
b[656],,FREE,,,,
b[657],,FREE,,,,
b[658],,FREE,,,,
b[659],,FREE,,,,
b[660],,LOW SPEED SAT1 if break,0,,,
b[661],,LOW SPEED SAT2 if break,0,,,
b[662],,FREE,,,,
b[663],,FREE,,,,
b[664],,FREE,,,,
b[665],,FREE,,,,
b[666],,FREE,,,,
