PLC ADR,ALIAS TO ,DESCRIPTION,UNIT,
CW[467],,FREE,,
CW[468],,FREE,,
CW[469],,FREE,,
CW[470],,DW 2522,,
CW[471],,FREE,,
CW[472],,FREE,,
CW[473],,FREE,,
CW[474],,FREE,,
CW[475],,FREE,,
CW[476],,FREE,,
CW[477],,FREE,,
CW[478],,FREE,,
CW[479],,FREE,,
CW[480],,FREE,,
CW[481],,FREE,,
CW[482],,FREE,,
CW[483],,FREE,,
CW[484],,FREE,,
CW[485],,FREE,,
CW[486],,FREE,,
CW[487],,FREE,,
CW[488],,FREE,,
CW[489],,FREE,,
CW[490],,FREE,,
CW[491],,FREE,,
CW[492],,FREE,,
CW[493],,FREE,,
CW[494],,FREE,,
CW[495],,FREE,,
CW[496],,FREE,,
CW[497],,FREE,,
CW[498],,FREE,,
CW[499],,FREE,,
CW[500],,VALIDATION RUN ORDER FROM SUPERVISOR,,
CW[501],,VALIDATION RUN ORDER FROM XBT1 PAGE 1,,
CW[502],,VALIDATION RUN ORDER FROM XBT1 PAGE 2,,
CW[503],,VALIDATION RUN ORDER FROM XBT1 PAGE 3,,
CW[504],,VALIDATION RUN ORDER FROM XBT1 PAGE 4,,
CW[505],,VALIDATION RUN ORDER FROM XBT1 PAGE 5,,
CW[506],,VALIDATION STOP ORDER FROM XBT1 PAGE 1,,
CW[507],,VALIDATION STOP ORDER FROM XBT1 PAGE 2,,
CW[508],,VALIDATION STOP ORDER FROM XBT1 PAGE 3,,
CW[509],,VALIDATION STOP ORDER FROM XBT1 PAGE 4,,
CW[510],,VALIDATION STOP ORDER FROM XBT1 PAGE 5,,
CW[511],,VALIDATION RUN ORDER FROM XBT2 PAGE 1,,
CW[512],,VALIDATION RUN ORDER FROM XBT2 PAGE 2,,
CW[513],,VALIDATION RUN ORDER FROM XBT2 PAGE 3,,
CW[514],,VALIDATION RUN ORDER FROM XBT2 PAGE 4,,
CW[515],,VALIDATION RUN ORDER FROM XBT2 PAGE 5,,
CW[516],,VALIDATION STOP ORDER FROM XBT2 PAGE 1,,
CW[517],,VALIDATION STOP ORDER FROM XBT2 PAGE 2,,
CW[518],,VALIDATION STOP ORDER FROM XBT2 PAGE 3,,
CW[519],,VALIDATION STOP ORDER FROM XBT2 PAGE 4,,
